DATOS
NOMBRE FICHERO = E:\1_proyectos\UVA\U0004_caja_sensores\Software\PASCAL\datos1.dat
NOMBRE FICHERO SETUP = inicioO2.stp
DIA y HORA = 03/11/2021 09:11:20
HORA ; TIEMPO TEST ; SENSOR ; O2 ; TEMP ; PRESION ; O2% ; ERROR
09:26:45;000:01;001;0194;+17,8;0982;019,79;0000
09:26:46;000:01;004;0198;+20,5;0983;020,21;0000
09:26:46;000:01;010;0196;+20,3;0983;020,00;0000
09:26:48;000:03;001;0194;+17,8;0982;019,79;0000
09:26:48;000:03;004;0198;+20,5;0983;020,21;0000
09:26:48;000:03;010;0196;+20,2;0983;020,00;0000
09:26:50;000:05;001;0194;+17,8;0982;019,79;0000
09:26:50;000:05;004;0198;+20,5;0983;020,21;0000
09:26:50;000:05;010;0196;+20,3;0983;020,00;0000
09:26:52;000:07;001;0194;+17,8;0981;019,81;0000
09:26:52;000:07;004;0198;+20,5;0983;020,21;0000
09:26:52;000:07;010;0196;+20,3;0983;019,99;0000
09:26:54;000:09;001;0194;+17,8;0982;019,79;0000
09:26:54;000:09;004;0198;+20,5;0983;020,21;0000
09:26:54;000:09;010;0196;+20,3;0983;019,99;0000
09:26:56;000:11;001;0194;+17,9;0981;019,81;0000
09:26:56;000:12;004;0198;+20,5;0983;020,20;0000
09:26:56;000:12;010;0196;+20,3;0983;019,99;0000
09:26:58;000:13;001;0194;+17,8;0982;019,79;0000
09:26:58;000:13;004;0198;+20,5;0983;020,20;0000
09:26:58;000:14;010;0196;+20,3;0983;019,99;0000
09:27:00;000:16;001;0194;+17,9;0982;019,79;0000
09:27:00;000:16;004;0198;+20,5;0983;020,20;0000
09:27:00;000:16;010;0196;+20,3;0983;019,99;0000
09:27:02;000:18;001;0194;+17,9;0982;019,79;0000
09:27:02;000:18;004;0198;+20,6;0983;020,20;0000
09:27:02;000:18;010;0196;+20,3;0983;019,99;0000
09:27:04;000:20;001;0194;+17,8;0982;019,79;0000
09:27:04;000:20;004;0198;+20,5;0983;020,20;0000
09:27:04;000:20;010;0196;+20,3;0983;019,99;0000
09:27:06;000:22;001;0194;+17,9;0982;019,79;0000
09:27:06;000:22;004;0198;+20,5;0983;020,20;0000
09:27:06;000:22;010;0196;+20,3;0983;019,99;0000
09:27:08;000:24;001;0194;+17,9;0981;019,82;0000
09:27:08;000:24;004;0198;+20,6;0983;020,20;0000
09:27:09;000:24;010;0196;+20,3;0983;019,99;0000
09:27:11;000:26;001;0194;+17,9;0982;019,79;0000
09:27:11;000:26;004;0198;+20,6;0983;020,20;0000
