DATOS
NOMBRE FICHERO = E:\1_proyectos\UVA\U0004_caja_sensores\Software\PASCAL\datos_medicion.dat
NOMBRE FICHERO SETUP = inicioO2.stp
DIA y HORA = 15/11/2021 10:58:40
HORA ; TIEMPO TEST ; SENSOR ; O2 ; TEMP ; PRESION ; O2% ; ERROR
11:01:01;000:01;004;0199,9;+20,3;0000;000,00;0000
11:01:01;000:00;005;0198,7;+20,8;0000;000,00;0000
11:01:03;000:02;004;0199,9;+20,3;0992;020,15;0000
11:01:03;000:02;005;0198,7;+20,7;0993;020,01;0000
11:01:15;000:00;004;0199,8;+20,3;0000;000,00;0000
11:01:15;000:00;005;0198,7;+20,8;0000;000,00;0000
11:01:15;000:00;006;0199,5;+20,8;0000;000,00;0000
11:01:17;000:02;004;0199,8;+20,3;0992;020,14;0000
11:01:18;000:02;005;0198,7;+20,8;0993;020,01;0000
11:01:18;000:02;006;0199,5;+20,7;0993;020,09;0000
11:01:20;000:04;004;0199,8;+20,3;0992;020,14;0000
11:01:20;000:04;005;0198,7;+20,8;0993;020,01;0000
11:01:20;000:04;006;0199,5;+20,8;0993;020,09;0000
11:01:50;000:01;004;0199,6;+20,1;0992;020,12;0000
11:01:50;000:01;005;0198,2;+20,8;0993;019,96;0000
11:01:50;000:01;006;0199,5;+20,8;0993;020,09;0000
11:01:50;000:01;007;0196,5;+17,7;0992;019,81;0000
11:03:33;000:01;004;0200,0;+20,0;0992;020,16;0000
11:03:33;000:01;005;0198,7;+20,8;0993;020,01;0000
11:03:33;000:01;006;0199,8;+20,7;0993;020,12;0000
11:03:33;000:01;007;0196,3;+17,7;0992;019,79;0000
11:03:33;000:01;009;0199,4;+18,3;0993;020,08;0000
11:03:35;000:03;004;0200,0;+20,0;0992;020,16;0000
11:03:35;000:03;005;0198,7;+20,8;0993;020,01;0000
11:03:35;000:03;006;0199,8;+20,7;0993;020,12;0000
11:03:35;000:03;007;0196,3;+17,7;0992;019,79;0000
11:03:35;000:03;009;0199,4;+18,4;0993;020,08;0000
11:04:16;000:00;004;0200,1;+19,9;0992;020,18;0000
11:04:16;000:00;005;0198,3;+20,8;0993;019,97;0000
